scenario,base_scenario,replicate,seed,burn_in_deaths,analyzed_target_deaths,total_deaths_simulated,n_observed_deaths_analyzed,stopped_by_target,burn_in_time,raw_final_time,total_time_for_analyzed_1000_deaths_after_burnin,observed_death_rate_after_burnin,mean_inter_death_time_after_burnin,median_inter_death_time_after_burnin,accepted_activations_total,activation_candidates,death_candidates,activation_rejected,death_rejected,active_center_expirations,erk_zone_expirations,all_proposals,spatial_bins_per_axis_for_plot,t_zone_area,outside_t_zone_area,t_zone_observed_deaths,outside_t_zone_observed_deaths,t_zone_observed_fraction,t_zone_area_fraction,t_zone_death_density,outside_t_zone_death_density,t_zone_density_ratio,t_zone_binomial_test_k,t_zone_binomial_test_n,t_zone_binomial_null_probability_area_fraction,t_zone_binomial_observed_fraction,t_zone_binomial_p_value_greater,t_zone_binomial_significant_0p05,lambda_a_1,lambda_a_T,lambda_a_c,lambda_a_T_over_lambda_a_c,lambda_d,beta_a_R,beta_a_T,beta_d_R,beta_d_T
shorter_ERK_duration__rep03,shorter_ERK_duration,3,1003,500,1000,1500,1000,True,10.486407743178646,27.840692628222012,17.354284885043366,57.62265668819583,0.017354284885043366,0.011805962393962588,12279,13881,2719,1602,1219,11892,1475,29967,20,44.44444444444445,55.55555555555555,465,535,0.465,0.4444444444444445,10.462499999999999,9.63,1.086448598130841,465,1000,0.4444444444444445,0.465,0.1010382018520014,False,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,2.0
shorter_ERK_duration__rep04,shorter_ERK_duration,4,1004,500,1000,1500,1000,True,9.962177333580856,26.48219549746783,16.520018163886974,60.53262109517628,0.016520018163886974,0.011187539523031198,11444,13089,2720,1645,1220,11073,1480,28362,20,44.44444444444445,55.55555555555555,428,572,0.428,0.4444444444444445,9.629999999999999,10.296000000000001,0.9353146853146851,428,1000,0.4444444444444445,0.428,0.8596051460596722,False,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,2.0
shorter_ERK_duration__rep05,shorter_ERK_duration,5,1005,500,1000,1500,1000,True,10.723227820159217,27.26629996088375,16.543072140724533,60.448264475512545,0.01654307214072453,0.011846055381308673,11939,13601,2813,1662,1313,11575,1464,29453,20,44.44444444444445,55.55555555555555,445,555,0.445,0.4444444444444445,10.0125,9.99,1.0022522522522521,445,1000,0.4444444444444445,0.445,0.4981192863528163,False,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,2.0
stronger_T_zone_activation__rep01,stronger_T_zone_activation,1,1001,500,1000,1500,1000,True,12.168323978464594,34.94283873194775,22.77451475348316,43.908729157316465,0.02277451475348316,0.01571528618346818,16335,17633,3638,1298,2138,15930,1443,38644,20,44.44444444444445,55.55555555555555,421,579,0.421,0.4444444444444445,9.472499999999998,10.422,0.9088946459412779,421,1000,0.4444444444444445,0.421,0.9364394197391296,False,5.0,1.0,0.05,20.0,1.0,2.5,1.2,2.0,0.8
stronger_T_zone_activation__rep02,stronger_T_zone_activation,2,1002,500,1000,1500,1000,True,13.978330498954493,40.45764561429344,26.47931511533895,37.76532722406856,0.02647931511533895,0.018757102346468102,18579,20203,4153,1624,2653,18154,1451,43961,20,44.44444444444445,55.55555555555555,369,631,0.369,0.4444444444444445,8.302499999999998,11.358,0.7309825673534072,369,1000,0.4444444444444445,0.369,0.9999994398586277,False,5.0,1.0,0.05,20.0,1.0,2.5,1.2,2.0,0.8
stronger_T_zone_activation__rep03,stronger_T_zone_activation,3,1003,500,1000,1500,1000,True,14.96872719680791,42.12652278628969,27.15779558948178,36.821839854605145,0.027157795589481778,0.018892842175880276,19457,21088,4243,1631,2743,19048,1455,45834,20,44.44444444444445,55.55555555555555,442,558,0.442,0.4444444444444445,9.944999999999999,10.044,0.9901433691756271,442,1000,0.4444444444444445,0.442,0.5738679145724073,False,5.0,1.0,0.05,20.0,1.0,2.5,1.2,2.0,0.8
stronger_T_zone_activation__rep04,stronger_T_zone_activation,4,1004,500,1000,1500,1000,True,13.685582151489395,37.79700285274891,24.111420701259515,41.47412184416668,0.024111420701259514,0.01595633161848653,17156,18837,3869,1681,2369,16772,1447,40925,20,44.44444444444445,55.55555555555555,430,570,0.43,0.4444444444444445,9.674999999999999,10.260000000000002,0.9429824561403506,430,1000,0.4444444444444445,0.43,0.8291825210256789,False,5.0,1.0,0.05,20.0,1.0,2.5,1.2,2.0,0.8
stronger_T_zone_activation__rep05,stronger_T_zone_activation,5,1005,500,1000,1500,1000,True,12.496997272710129,36.18470555081714,23.687708278107014,42.21598764470745,0.023687708278107015,0.014562785225220587,16541,17905,3675,1364,2175,16140,1454,39174,20,44.44444444444445,55.55555555555555,445,555,0.445,0.4444444444444445,10.0125,9.99,1.0022522522522521,445,1000,0.4444444444444445,0.445,0.4981192863528163,False,5.0,1.0,0.05,20.0,1.0,2.5,1.2,2.0,0.8
strong_visible_T_zone__rep01,strong_visible_T_zone,1,1001,500,1000,1500,1000,True,82.52958872299722,248.69372171956405,166.16413299656682,6.018145925755598,0.16616413299656682,0.10364358458418366,28508,125462,24870,96954,23370,28466,1491,180289,20,44.44444444444445,55.55555555555555,925,75,0.925,0.4444444444444445,20.812499999999996,1.35,15.416666666666663,925,1000,0.4444444444444445,0.925,3.0473445551393793e-231,True,5.0,2.0,0.005,400.0,1.0,5.0,3.0,2.0,0.8
strong_visible_T_zone__rep02,strong_visible_T_zone,2,1002,500,1000,1500,1000,True,85.77906322782883,255.60576285162824,169.8266996237994,5.888355613193937,0.16982669962379943,0.11649796852609029,29228,128510,25669,99282,24169,29184,1495,184858,20,44.44444444444445,55.55555555555555,912,88,0.912,0.4444444444444445,20.519999999999996,1.584,12.954545454545451,912,1000,0.4444444444444445,0.912,2.5053221062113312e-216,True,5.0,2.0,0.005,400.0,1.0,5.0,3.0,2.0,0.8
strong_visible_T_zone__rep03,strong_visible_T_zone,3,1003,500,1000,1500,1000,True,83.96767222085639,251.94975047441258,167.9820782535562,5.953016002639138,0.1679820782535562,0.10850357210792083,29256,126112,25344,96856,23844,29231,1492,182179,20,44.44444444444445,55.55555555555555,901,99,0.901,0.4444444444444445,20.272499999999997,1.7820000000000003,11.376262626262623,901,1000,0.4444444444444445,0.901,2.003918639469878e-204,True,5.0,2.0,0.005,400.0,1.0,5.0,3.0,2.0,0.8
strong_visible_T_zone__rep04,strong_visible_T_zone,4,1004,500,1000,1500,1000,True,84.62837148467707,242.8423586745122,158.21398718983514,6.320553686572205,0.15821398718983515,0.09519309735345871,27944,121087,24226,93143,22726,27903,1495,174711,20,44.44444444444445,55.55555555555555,889,111,0.889,0.4444444444444445,20.002499999999998,1.9980000000000002,10.011261261261259,889,1000,0.4444444444444445,0.889,4.15948474934821e-192,True,5.0,2.0,0.005,400.0,1.0,5.0,3.0,2.0,0.8
strong_visible_T_zone__rep05,strong_visible_T_zone,5,1005,500,1000,1500,1000,True,87.70367171261613,252.9776068462435,165.2739351336274,6.050560841257149,0.1652739351336274,0.1062671019469974,28818,126132,25181,97314,23681,28782,1493,181588,20,44.44444444444445,55.55555555555555,898,102,0.898,0.4444444444444445,20.205,1.836,11.004901960784313,898,1000,0.4444444444444445,0.898,2.7786013629557807e-201,True,5.0,2.0,0.005,400.0,1.0,5.0,3.0,2.0,0.8
T0p5_c0p005_ratio_1e2__rep01,T0p5_c0p005_ratio_1e2,1,1001,500,1000,1500,1000,True,13.03980936760101,37.419943610342784,24.380134242741775,41.01700138495794,0.024380134242741776,0.0168045960098393,17201,18980,3788,1779,2288,16796,1448,41012,20,44.44444444444445,55.55555555555555,443,557,0.443,0.4444444444444445,9.9675,10.026000000000002,0.9941651705565527,443,1000,0.4444444444444445,0.443,0.5487771225133123,False,5.0,0.5,0.005,100.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p005_ratio_1e2__rep02,T0p5_c0p005_ratio_1e2,2,1002,500,1000,1500,1000,True,15.263206833868912,40.53117140443966,25.267964570570747,39.57580347269785,0.025267964570570747,0.017586410602309144,17976,20419,4011,2443,2511,17556,1443,43429,20,44.44444444444445,55.55555555555555,408,592,0.408,0.4444444444444445,9.18,10.656,0.8614864864864864,408,1000,0.4444444444444445,0.408,0.9907986355091236,False,5.0,0.5,0.005,100.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p005_ratio_1e2__rep03,T0p5_c0p005_ratio_1e2,3,1003,500,1000,1500,1000,True,16.41853206692206,41.02359542981247,24.605063362890405,40.64204124376325,0.024605063362890405,0.016180391119052118,17989,20349,4163,2360,2663,17582,1454,43548,20,44.44444444444445,55.55555555555555,470,530,0.47,0.4444444444444445,10.575,9.540000000000001,1.1084905660377358,470,1000,0.4444444444444445,0.47,0.055588829891658885,False,5.0,0.5,0.005,100.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p005_ratio_1e2__rep04,T0p5_c0p005_ratio_1e2,4,1004,500,1000,1500,1000,True,13.662695290893916,36.714673374921,23.051978084027084,43.3802251743814,0.023051978084027085,0.01599563105909052,15998,18250,3693,2252,2193,15576,1444,38963,20,44.44444444444445,55.55555555555555,440,560,0.44,0.4444444444444445,9.899999999999999,10.080000000000002,0.9821428571428569,440,1000,0.4444444444444445,0.44,0.6230785069194156,False,5.0,0.5,0.005,100.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p005_ratio_1e2__rep05,T0p5_c0p005_ratio_1e2,5,1005,500,1000,1500,1000,True,13.555724767030387,38.26862086609586,24.71289609906547,40.46470296283144,0.024712896099065473,0.017119674120102957,17160,19071,3882,1911,2382,16724,1455,41132,20,44.44444444444445,55.55555555555555,449,551,0.449,0.4444444444444445,10.1025,9.918000000000001,1.0186025408348456,449,1000,0.4444444444444445,0.449,0.3977504445784189,False,5.0,0.5,0.005,100.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p0005_ratio_1e3__rep01,T0p5_c0p0005_ratio_1e3,1,1001,500,1000,1500,1000,True,13.018099516564844,40.63908040257571,27.620980886010862,36.20436233336188,0.027620980886010862,0.019957651375154484,18581,20437,4159,1856,2659,18165,1450,44211,20,44.44444444444445,55.55555555555555,434,566,0.434,0.4444444444444445,9.764999999999999,10.188,0.9584805653710246,434,1000,0.4444444444444445,0.434,0.7567427050167727,False,5.0,0.5,0.0005,1000.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p0005_ratio_1e3__rep02,T0p5_c0p0005_ratio_1e3,2,1002,500,1000,1500,1000,True,15.263206833868912,39.68155321369538,24.418346379826467,40.952814103176244,0.024418346379826466,0.017227194222218856,17466,19870,3967,2404,2467,17098,1449,42384,20,44.44444444444445,55.55555555555555,440,560,0.44,0.4444444444444445,9.899999999999999,10.080000000000002,0.9821428571428569,440,1000,0.4444444444444445,0.44,0.6230785069194156,False,5.0,0.5,0.0005,1000.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p0005_ratio_1e3__rep03,T0p5_c0p0005_ratio_1e3,3,1003,500,1000,1500,1000,True,17.093057201130012,44.2279563599075,27.13489915877749,36.85291012686605,0.027134899158777488,0.018139715762849562,19639,21978,4417,2339,2917,19242,1456,47093,20,44.44444444444445,55.55555555555555,414,586,0.414,0.4444444444444445,9.315,10.548000000000002,0.8831058020477813,414,1000,0.4444444444444445,0.414,0.9757629594569542,False,5.0,0.5,0.0005,1000.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p0005_ratio_1e3__rep04,T0p5_c0p0005_ratio_1e3,4,1004,500,1000,1500,1000,True,14.062328392039436,39.24440516396472,25.182076771925285,39.7107835488322,0.025182076771925285,0.016600981256704728,17449,19645,3962,2196,2462,17066,1444,42117,20,44.44444444444445,55.55555555555555,406,594,0.406,0.4444444444444445,9.134999999999998,10.692000000000002,0.854377104377104,406,1000,0.4444444444444445,0.406,0.9935334272356939,False,5.0,0.5,0.0005,1000.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p0005_ratio_1e3__rep05,T0p5_c0p0005_ratio_1e3,5,1005,500,1000,1500,1000,True,13.152752886341622,38.32038782954238,25.16763494320076,39.73357060593244,0.02516763494320076,0.01608217348356078,17000,19072,3891,2072,2391,16578,1451,40992,20,44.44444444444445,55.55555555555555,425,575,0.425,0.4444444444444445,9.562499999999998,10.350000000000001,0.9239130434782605,425,1000,0.4444444444444445,0.425,0.8979660903506869,False,5.0,0.5,0.0005,1000.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p00005_ratio_1e4__rep01,T0p5_c0p00005_ratio_1e4,1,1001,500,1000,1500,1000,True,13.018099516564844,40.63908040257571,27.620980886010862,36.20436233336188,0.027620980886010862,0.019957651375154484,18581,20437,4159,1856,2659,18165,1450,44211,20,44.44444444444445,55.55555555555555,434,566,0.434,0.4444444444444445,9.764999999999999,10.188,0.9584805653710246,434,1000,0.4444444444444445,0.434,0.7567427050167727,False,5.0,0.5,5e-05,10000.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p00005_ratio_1e4__rep02,T0p5_c0p00005_ratio_1e4,2,1002,500,1000,1500,1000,True,15.263206833868912,39.68155321369538,24.418346379826467,40.952814103176244,0.024418346379826466,0.017227194222218856,17466,19870,3967,2404,2467,17098,1449,42384,20,44.44444444444445,55.55555555555555,440,560,0.44,0.4444444444444445,9.899999999999999,10.080000000000002,0.9821428571428569,440,1000,0.4444444444444445,0.44,0.6230785069194156,False,5.0,0.5,5e-05,10000.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p00005_ratio_1e4__rep03,T0p5_c0p00005_ratio_1e4,3,1003,500,1000,1500,1000,True,17.093057201130012,44.2279563599075,27.13489915877749,36.85291012686605,0.027134899158777488,0.018139715762849562,19639,21978,4417,2339,2917,19242,1456,47093,20,44.44444444444445,55.55555555555555,414,586,0.414,0.4444444444444445,9.315,10.548000000000002,0.8831058020477813,414,1000,0.4444444444444445,0.414,0.9757629594569542,False,5.0,0.5,5e-05,10000.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p00005_ratio_1e4__rep04,T0p5_c0p00005_ratio_1e4,4,1004,500,1000,1500,1000,True,14.062328392039436,39.24440516396472,25.182076771925285,39.7107835488322,0.025182076771925285,0.016600981256704728,17449,19645,3962,2196,2462,17066,1444,42117,20,44.44444444444445,55.55555555555555,406,594,0.406,0.4444444444444445,9.134999999999998,10.692000000000002,0.854377104377104,406,1000,0.4444444444444445,0.406,0.9935334272356939,False,5.0,0.5,5e-05,10000.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p00005_ratio_1e4__rep05,T0p5_c0p00005_ratio_1e4,5,1005,500,1000,1500,1000,True,13.152752886341622,38.32038782954238,25.16763494320076,39.73357060593244,0.02516763494320076,0.01608217348356078,17000,19072,3891,2072,2391,16578,1451,40992,20,44.44444444444445,55.55555555555555,425,575,0.425,0.4444444444444445,9.562499999999998,10.350000000000001,0.9239130434782605,425,1000,0.4444444444444445,0.425,0.8979660903506869,False,5.0,0.5,5e-05,10000.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p025_ratio_20__rep01,T0p5_c0p025_ratio_20,1,1001,500,1000,1500,1000,True,13.65517142324529,36.826986181017325,23.171814757772033,43.155877537152804,0.02317181475777203,0.014818803816755377,17053,18664,3819,1611,2319,16656,1455,40594,20,44.44444444444445,55.55555555555555,440,560,0.44,0.4444444444444445,9.899999999999999,10.080000000000002,0.9821428571428569,440,1000,0.4444444444444445,0.44,0.6230785069194156,False,5.0,0.5,0.025,20.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p025_ratio_20__rep02,T0p5_c0p025_ratio_20,2,1002,500,1000,1500,1000,True,13.884231433988848,37.52237140719832,23.638139973209473,42.304513008779885,0.023638139973209474,0.01700622851450717,16812,19064,3755,2252,2255,16393,1458,40670,20,44.44444444444445,55.55555555555555,417,583,0.417,0.4444444444444445,9.382499999999999,10.494000000000002,0.8940823327615778,417,1000,0.4444444444444445,0.417,0.962565392557542,False,5.0,0.5,0.025,20.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p025_ratio_20__rep03,T0p5_c0p025_ratio_20,3,1003,500,1000,1500,1000,True,12.74522259412951,39.22161207693047,26.47638948280096,37.769500280602806,0.026476389482800962,0.018276747185556275,17733,19556,3979,1823,2479,17351,1446,42332,20,44.44444444444445,55.55555555555555,468,532,0.468,0.4444444444444445,10.53,9.576,1.0996240601503757,468,1000,0.4444444444444445,0.468,0.07131921642921965,False,5.0,0.5,0.025,20.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p025_ratio_20__rep04,T0p5_c0p025_ratio_20,4,1004,500,1000,1500,1000,True,14.211340405642606,39.09000331842384,24.878662912781234,40.19508618713819,0.024878662912781235,0.01654049647372524,17472,19608,3981,2136,2481,17092,1444,42125,20,44.44444444444445,55.55555555555555,418,582,0.418,0.4444444444444445,9.405,10.476,0.8977663230240549,418,1000,0.4444444444444445,0.418,0.9570393756552464,False,5.0,0.5,0.025,20.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p025_ratio_20__rep05,T0p5_c0p025_ratio_20,5,1005,500,1000,1500,1000,True,14.082433805744067,39.231918441761884,25.149484636017817,39.76224620395802,0.025149484636017818,0.017266856714643453,17855,19658,3998,1803,2498,17467,1447,42570,20,44.44444444444445,55.55555555555555,429,571,0.429,0.4444444444444445,9.652499999999998,10.278,0.939141856392294,429,1000,0.4444444444444445,0.429,0.8448845210432233,False,5.0,0.5,0.025,20.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p01_ratio_50__rep01,T0p5_c0p01_ratio_50,1,1001,500,1000,1500,1000,True,13.363320415217887,38.562588863291026,25.19926844807314,39.68369169369537,0.02519926844807314,0.01674859132757689,17788,19379,3835,1591,2335,17402,1452,42068,20,44.44444444444445,55.55555555555555,461,539,0.461,0.4444444444444445,10.372499999999999,9.702000000000002,1.0691094619666044,461,1000,0.4444444444444445,0.461,0.15345588278668074,False,5.0,0.5,0.01,50.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p01_ratio_50__rep02,T0p5_c0p01_ratio_50,2,1002,500,1000,1500,1000,True,15.263206833868912,40.53117140443966,25.267964570570747,39.57580347269785,0.025267964570570747,0.017586410602309144,17976,20419,4011,2443,2511,17556,1443,43429,20,44.44444444444445,55.55555555555555,408,592,0.408,0.4444444444444445,9.18,10.656,0.8614864864864864,408,1000,0.4444444444444445,0.408,0.9907986355091236,False,5.0,0.5,0.01,50.0,1.0,2.5,1.2,2.0,0.8
T0p5_c0p01_ratio_50__rep03,T0p5_c0p01_ratio_50,3,1003,500,1000,1500,1000,True,15.065763204345963,38.71634970947287,23.65058650512691,42.28224952405399,0.02365058650512691,0.015884472632787805,17024,19301,3945,2277,2445,16631,1435,41312,20,44.44444444444445,55.55555555555555,427,573,0.427,0.4444444444444445,9.607499999999998,10.314000000000002,0.9315008726003488,427,1000,0.4444444444444445,0.427,0.8733495341640354,False,5.0,0.5,0.01,50.0,1.0,2.5,1.2,2.0,0.8
